SNo	Date	Month	Year	BS	Expenses Group	Group	Sub Group	Bill Date	Vendor Name	Details-Description	Qty	KG	Feed KG	Rate	Amount
159	11/6/2025	Nov	2025	P&L	Staff Welfare	Staff Welfare	Staff Welfare			Khana+Tea+Water+Petrol					2150
160	11/6/2025	Nov	2025	BS	Building Construction	Staff Room+Others	Bricks			Bricks 1 Trailor					10600
161	11/6/2025	Nov	2025	BS	Building Construction	Staff Room+Others	Cement			Cement 7 bags @ 320		7		320	2240
162	11/6/2025	Nov	2025	BS	Building Construction	Staff Room+Others	Sand			Sand 1 Trailor 82X45+150labor +250 tractor freight					4090
163	11/6/2025	Nov	2025	BS	Building Construction	Staff Room+Others	Wages			1 Mistry 700+2 Labour 2X 450					1600
164	11/7/2025	Nov	2025	BS	Building Construction	Staff Room+Others	Wages			1 Mistry 700+2 Labour 2X 450					1600
165	11/9/2025	Nov	2025	P&L	Wages	P&L	Wages			Advance Rs 5000 paid to Bisnath Prasad					5000
166	11/9/2025	Nov	2025	P&L	Feeding Material-2	P&L	Misc			Mita +Dal					130
167	11/8/2025	Nov	2025	P&L	Operative Expenses	P&L	Misc			Rassi 1kg					80
168	11/8/2025	Nov	2025	P&L	Operative Expenses	P&L	Misc			Lohban and Kayal					50
169	11/8/2025	Nov	2025	BS	Tools	Tools	Tools			Katra 1 X 150		2		150	300
170	11/8/2025	Nov	2025	BS	Tools	Tools	Mat			Rubber Mat for Cow   from Manish Enterprises Patna		6		3100	18600
170	11/8/2025	Nov	2025	BS	Tools	Tools	Misc			Misc Tools items 					1320
170	11/8/2025	Nov	2025	BS	Tools	Tools	Freight and Cartage			Freight Ffom Patna to Chakia					1600
171	11/8/2025	Nov	2025	P&L	Vehicls Running	P&L	Petrol			Petrol					560
172	11/8/2025	Nov	2025	P&L	Staff Welfare	P&L	Staff Welfare			Fooding Expenses 260+180					260
173	11/8/2025	Nov	2025	P&L	Staff Welfare	P&L	Staff Welfare			Fooding Expenses 260+180					180
174	11/8/2025	Nov	2025	P&L	Operative Expenses	P&L	Misc			Mandip					850
175	11/8/2025	Nov	2025	P&L	Vehicls Running	P&L	Petrol			Petrol in bike					220
176	11/10/2025	Nov	2025	P&L	Feeding Material	P&L	Pora			Pora					125
177	11/10/2025	Nov	2025	P&L	Feeding Material	P&L	Freight and Cartage-P			Pickup Bara					350
178	11/10/2025	Nov	2025	P&L	Feeding Material	P&L	Freight and Cartage			Auto Bara					100
179	11/10/2025	Nov	2025	P&L	Feeding Material	P&L	Wages			Labour charge					50
182	11/10/2025	Nov	2025	P&L	Feeding Material	P&L	Pora			Pora					100
183	11/12/2025	Nov	2025	BS	Tools	Tools	Kata			Weight Machjine /kata 100 kg					3600
184	11/11/2025	Nov	2025	BS	Misc	Misc	Misc			wire+ss 					600
